sep=;
dias;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total
29;20346.20;19474.60;18783.40;18367.00;17926.10;17872.90;16916.80;17605.90;18709.60;21693.50;22702.60;23657.20;22502.60;21396.70;22749.30;24944.20;24839.80;24085.10;23162.70;23562.50;22317.10;21277.10;20940.40;20450.30;506283.50
30;19612.20;18799.20;18144.70;17615.00;17320.10;17204.20;17025.10;17770.30;20037.10;23021.00;24127.80;23865.40;23694.20;22701.00;23240.50;24976.50;25011.10;24312.90;24149.40;24982.60;23328.40;21987.70;21570.60;20944.10;515441.20
31;20209.90;19379.90;18681.10;18179.80;17807.20;17432.10;16951.00;17623.20;18930.20;21059.80;22298.00;22830.10;22853.30;21588.90;21767.60;21742.10;21653.30;22688.10;23006.10;24046.90;23256.10;22690.60;22373.40;21568.40;500617.00
1;20716.90;19952.90;19271.50;18657.70;18317.00;18227.90;17990.60;18651.00;20412.50;22472.30;23174.80;23818.70;23297.50;22797.00;22771.20;26004.80;26178.50;25627.50;24777.20;25260.30;24157.50;23248.20;21850.90;20496.40;528131.10
2;20325.00;19533.60;18951.60;18463.80;18125.10;18135.50;18167.30;19222.90;21703.40;24523.50;25316.50;25512.80;24565.40;23787.40;24828.40;26651.70;26709.60;25773.70;24758.30;25061.50;23864.60;22863.90;22566.80;21416.60;540829.20
3;20311.50;19441.30;18757.50;18251.70;17874.70;17676.30;17609.30;18883.50;21495.40;24500.30;25655.80;26157.10;25237.00;23679.50;23436.00;24475.40;24610.50;24149.80;23556.60;24052.00;23031.90;22507.80;22092.90;21278.20;528721.90
4;20283.30;19482.30;18814.80;18303.50;17953.00;17822.10;17160.40;18578.50;20929.90;23932.20;24987.60;25514.20;24696.10;23630.50;24767.40;26448.40;26457.60;25147.20;24434.10;24662.40;22777.30;22176.20;21761.40;20580.50;531300.70
5;19602.70;18853.30;18145.60;17644.40;17187.60;17062.70;16994.50;18271.10;20764.60;23701.90;24660.10;25188.10;24464.20;23426.20;24527.80;26123.50;26052.60;25082.90;24556.50;24803.70;23356.70;22370.90;21988.90;21068.40;525898.80
6;20220.10;19463.70;18824.70;18227.70;17827.30;17603.80;17501.40;18342.10;20089.90;23120.00;24525.60;24900.00;24203.00;22539.60;22930.00;24547.70;24537.00;24087.70;24032.20;24478.20;23090.60;22133.70;22015.30;21184.50;520425.70
7;20490.40;19812.30;19176.30;18570.30;18096.50;17801.10;17409.70;18052.00;19232.00;21010.70;22190.90;22395.30;22049.80;20861.80;20924.40;20901.60;20850.80;21810.60;22254.40;23350.80;22383.30;21979.20;21852.80;21044.00;494501.40
8;20157.90;19417.60;18796.60;18287.20;18015.80;17890.30;17666.80;19020.50;21903.10;24865.50;25827.80;25973.80;25175.60;24032.90;25195.40;27134.90;27131.10;26190.70;25015.30;25279.30;24072.30;23199.50;22752.60;21565.60;544568.20
9;20448.80;19608.10;18953.40;18425.70;17972.10;17800.00;17681.40;16382.30;18667.50;21658.00;23687.70;24235.20;24772.80;23872.20;24883.50;27020.80;26911.30;26061.10;25096.10;25408.30;24165.10;23288.20;22692.30;21473.40;531165.30
10;20375.30;19594.90;18921.90;18373.10;17869.60;17763.80;17466.80;18806.20;21368.10;24260.90;25467.80;25830.80;24811.90;23861.00;25223.80;27322.80;27204.30;26214.70;25355.90;25785.00;24534.40;23594.50;22837.30;21657.20;544501.90
11;20626.50;19645.60;18857.80;18256.70;17815.70;17648.40;17536.80;18638.10;21532.30;24430.30;25655.00;25942.30;25057.20;24418.90;25412.50;27094.30;27007.60;26021.00;25246.80;25769.40;24458.50;23316.20;22758.90;22085.40;545231.90
12;20968.20;20167.80;19473.60;18893.90;18510.40;18359.10;18248.50;18292.10;20681.30;24014.00;25201.00;25459.60;24875.50;24737.00;25817.20;27465.20;27289.50;26437.60;25858.80;26188.30;24732.90;23587.40;23236.70;22336.60;550832.30
13;21401.50;20581.10;19946.20;19252.20;18896.80;18609.60;18213.10;19062.40;21123.70;24160.70;25204.70;25370.90;24762.00;23010.70;23504.50;25474.70;25473.80;24630.30;24556.00;25267.10;24003.50;22896.20;22548.90;21806.70;539757.30
14;21172.10;20411.20;19641.80;19093.60;18678.30;18391.00;17937.90;18677.10;19928.20;22222.10;23530.40;23461.80;23222.50;21483.30;21660.70;19128.50;20343.60;22601.10;23694.30;24615.00;23530.30;22979.40;22655.80;21864.30;510924.20
15;21037.10;20285.70;19597.80;19062.30;18757.80;18609.00;17737.00;19087.30;22171.40;25627.40;26756.80;26996.30;26222.30;24945.70;25915.20;27518.10;27519.70;26900.40;26226.00;26566.60;25326.30;24346.80;23962.20;22543.60;563718.90
16;21873.80;21047.70;19784.10;18269.70;19165.20;19024.60;18625.00;19911.30;22492.00;25533.50;26585.60;25569.20;25652.10;24481.80;25584.20;27609.80;27470.70;26581.20;25644.60;25983.00;24873.70;23937.70;23243.10;22151.20;561094.70
17;21073.70;20201.30;19336.10;18796.90;18442.50;18115.20;17831.40;19177.20;21695.90;24797.00;25757.40;26058.70;25350.90;24186.50;25122.50;26843.60;26356.30;24515.50;25023.70;25672.60;24674.80;23732.30;23295.60;22407.80;548465.30
